ExitDistance,HasSupply,HasEnemy,ClosestEnemy,ClosestEnemyToSupply,Utility,Action
5,No,Yes,2,1000,-5,GetExit
6,No,Yes,3,1000,-6,GetExit
6,No,Yes,3,1000,-6,GetExit
6,No,Yes,3,1000,-6,GetExit
5,No,Yes,2,1000,-5,GetExit
4,No,Yes,1,1000,-4,GetExit
5,No,Yes,2,1000,-5,GetExit
4,No,Yes,1,1000,-4,GetExit
3,No,Yes,0,1000,-3,GetExit
2,No,Yes,1,1000,-2,GetExit
1,No,Yes,0,1000,-1,GetExit
7,Yes,Yes,4,2,45,GetFood
6,Yes,Yes,3,2,46,GetFood
5,Yes,Yes,1.391597,1.391597,47,GetFood
5,Yes,Yes,1,1,41,GetExit
5,Yes,Yes,1,1,41,GetExit
4,Yes,Yes,0,1,42,GetExit
3,Yes,Yes,0.3784914,0.3784914,43,GetExit
2,Yes,Yes,1,0,42,GetExit
1,Yes,Yes,2,0,41,GetExit
7,Yes,Yes,3,2,53,GetFood
7,Yes,Yes,3,2,53,GetFood
7,Yes,Yes,2.344432,1.344432,53,GetFood
7,Yes,Yes,2,1,53,GetFood
6,Yes,Yes,1,1,36,GetFood
6,Yes,Yes,1,0,26,GetFood
5,Yes,Yes,0,4,15,GetFood
4,Yes,Yes,1,4,16,GetFood
3,Yes,Yes,2,4,17,GetFood
3,Yes,Yes,2,4,17,GetFood
3,Yes,Yes,1.608201,3.608201,17,GetFood
2,Yes,Yes,2,3,18,GetFood
1,Yes,Yes,3,3,19,GetFood
1,No,Yes,3,1000,-1,GetExit
0,No,Yes,3.573006,1000,0,GetExit
7,Yes,Yes,1,2,47,GetFood
7,Yes,Yes,1,2,47,GetFood
7,Yes,Yes,1,2,47,GetFood
6,Yes,Yes,0.7039061,2.703906,48,GetFood
5,Yes,Yes,2,3,49,GetFood
4,Yes,Yes,3,3,50,GetFood
4,Yes,Yes,3,3,50,GetFood
4,Yes,Yes,2.966393,2.966393,50,GetFood
4,Yes,Yes,2.750673,2.750673,50,GetFood
4,Yes,Yes,2.381375,2.381375,50,GetFood
4,Yes,Yes,1.643083,1.643083,30,GetFood
4,Yes,Yes,1,1,30,GetFood
3,Yes,Yes,2,1,31,GetFood
2,Yes,Yes,1,0,32,GetFood
1,Yes,Yes,0,0,33,GetFood
1,Yes,Yes,0,0,23,GetExit
0,Yes,Yes,1,0,22,GetExit
7,Yes,Yes,5,1,3,GetExit
7,Yes,Yes,5,1,3,GetExit
7,Yes,Yes,4.357413,0.3574128,3,GetExit
7,Yes,Yes,4,0,3,GetExit
7,Yes,Yes,4,0,3,GetExit
7,Yes,Yes,4,0,3,GetExit
7,Yes,Yes,3.558127,0,3,GetExit
